Reading 5 bytes:
Reading at malicious_x = 0xffffffffffffdf88... miss : mix_i=13 , time=1220
miss : mix_i=75 , time=170
miss : mix_i=242 , time=170
miss : mix_i=153 , time=170
miss : mix_i=64 , time=170
miss : mix_i=231 , time=170
miss : mix_i=142 , time=170
miss : mix_i=53 , time=170
miss : mix_i=220 , time=170
miss : mix_i=131 , time=170
miss : mix_i=42 , time=170
miss : mix_i=209 , time=170
miss : mix_i=120 , time=170
miss : mix_i=31 , time=170
miss : mix_i=198 , time=646
miss : mix_i=109 , time=170
miss : mix_i=20 , time=170
miss : mix_i=187 , time=606
miss : mix_i=98 , time=170
miss : mix_i=9 , time=170
miss : mix_i=176 , time=170
miss : mix_i=87 , time=170
miss : mix_i=254 , time=170
miss : mix_i=165 , time=170
miss : mix_i=76 , time=170
miss : mix_i=243 , time=170
miss : mix_i=154 , time=170
miss : mix_i=65 , time=170
miss : mix_i=232 , time=170
miss : mix_i=143 , time=170
miss : mix_i=54 , time=170
miss : mix_i=221 , time=170
miss : mix_i=132 , time=608
miss : mix_i=43 , time=170
miss : mix_i=210 , time=170
miss : mix_i=121 , time=621
miss : mix_i=32 , time=170
miss : mix_i=199 , time=170
miss : mix_i=110 , time=170
miss : mix_i=21 , time=170
miss : mix_i=188 , time=170
miss : mix_i=99 , time=170
miss : mix_i=10 , time=170
miss : mix_i=177 , time=170
miss : mix_i=88 , time=170
miss : mix_i=255 , time=170
miss : mix_i=166 , time=170
miss : mix_i=77 , time=170
miss : mix_i=244 , time=170
miss : mix_i=155 , time=170
miss : mix_i=66 , time=547
miss : mix_i=233 , time=170
miss : mix_i=144 , time=170
miss : mix_i=55 , time=601
miss : mix_i=222 , time=170
miss : mix_i=133 , time=170
miss : mix_i=44 , time=170
miss : mix_i=211 , time=170
miss : mix_i=122 , time=170
miss : mix_i=33 , time=170
miss : mix_i=200 , time=170
miss : mix_i=111 , time=170
miss : mix_i=22 , time=170
miss : mix_i=189 , time=170
miss : mix_i=100 , time=170
miss : mix_i=11 , time=170
miss : mix_i=178 , time=170
miss : mix_i=89 , time=170
miss : mix_i=0 , time=636
miss : mix_i=167 , time=170
miss : mix_i=78 , time=170
miss : mix_i=245 , time=343
miss : mix_i=156 , time=170
miss : mix_i=67 , time=170
miss : mix_i=234 , time=170
miss : mix_i=145 , time=170
miss : mix_i=56 , time=170
miss : mix_i=223 , time=170
miss : mix_i=134 , time=170
miss : mix_i=45 , time=170
miss : mix_i=212 , time=170
miss : mix_i=123 , time=170
miss : mix_i=34 , time=170
miss : mix_i=201 , time=170
miss : mix_i=112 , time=170
miss : mix_i=23 , time=170
miss : mix_i=190 , time=616
miss : mix_i=101 , time=170
miss : mix_i=12 , time=170
miss : mix_i=179 , time=620
miss : mix_i=90 , time=170
miss : mix_i=1 , time=170
miss : mix_i=168 , time=170
miss : mix_i=79 , time=170
miss : mix_i=246 , time=170
miss : mix_i=157 , time=170
miss : mix_i=68 , time=170
miss : mix_i=235 , time=170
miss : mix_i=146 , time=170
miss : mix_i=57 , time=170
miss : mix_i=224 , time=170
miss : mix_i=135 , time=170
miss : mix_i=46 , time=170
miss : mix_i=213 , time=170
miss : mix_i=124 , time=544
miss : mix_i=35 , time=170
miss : mix_i=202 , time=170
miss : mix_i=113 , time=605
miss : mix_i=24 , time=170
miss : mix_i=191 , time=170
miss : mix_i=102 , time=170
Success: 0x54=’T’ score=2 
Reading at malicious_x = 0xffffffffffffdf89... miss : mix_i=13 , time=1220
miss : mix_i=180 , time=170
miss : mix_i=91 , time=172
miss : mix_i=2 , time=173
miss : mix_i=169 , time=170
miss : mix_i=80 , time=173
miss : mix_i=247 , time=173
miss : mix_i=158 , time=173
miss : mix_i=69 , time=173
miss : mix_i=236 , time=173
miss : mix_i=147 , time=173
miss : mix_i=58 , time=173
miss : mix_i=225 , time=173
miss : mix_i=136 , time=173
miss : mix_i=47 , time=173
miss : mix_i=214 , time=494
miss : mix_i=125 , time=173
miss : mix_i=36 , time=173
miss : mix_i=203 , time=439
miss : mix_i=114 , time=173
miss : mix_i=25 , time=173
miss : mix_i=192 , time=173
miss : mix_i=103 , time=173
miss : mix_i=14 , time=173
miss : mix_i=181 , time=173
miss : mix_i=92 , time=173
miss : mix_i=3 , time=173
miss : mix_i=170 , time=173
miss : mix_i=81 , time=173
miss : mix_i=248 , time=173
